anon_id,anon_ip,collection_order,gateway_port,active_target,preferred_url,scanner_input_target,product_confidence,passive_family,passive_family_confidence,top_version,top_version_confidence,top_version_exact,mdns_version,mdns_service_types,mdns_product_markers,mdns_instance_names,country,org,shodan_module,shodan_port,honeypot_probable,proxy_detected,vulnerability_count,public_ip,active_rank,active_priority_score,active_probe_target,active_probed_base,active_product_confidence,active_reachable_status_count,active_has_signal,active_status_distribution_signature,active_status_counts,active_fingerprint_match_count,active_fingerprint_rules,active_matched_version_count,active_matched_versions,active_has_exact_version_match,active_vulnerability_count,active_proxy_detected,active_honeypot_probable,active_observation_count,active_error_count,active_first_error
gw-0242,192.0.2.242,242,18789,192.0.2.242:18789,https://192.0.2.242:18789,192.0.2.242:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0242-instance-1,FI,provider-0036,mdns,5353,False,False,0,192.0.2.242,,,,,,,False,,,,,,,,,,,,,
gw-0243,192.0.2.243,243,18789,192.0.2.243:18789,https://192.0.2.243:18789,192.0.2.243:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0243-instance-1,FI,provider-0036,mdns,5353,False,False,0,192.0.2.243,,,,,,,False,,,,,,,,,,,,,
gw-0244,192.0.2.244,244,18789,192.0.2.244:18789,https://192.0.2.244:18789,192.0.2.244:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0244-instance-1,FI,provider-0036,mdns,5353,False,False,0,192.0.2.244,,,,,,,False,,,,,,,,,,,,,
gw-0245,192.0.2.245,245,18789,192.0.2.245:18789,https://192.0.2.245:18789,192.0.2.245:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0245-instance-1,US,provider-0112,mdns,5353,False,False,0,192.0.2.245,,,,,,,False,,,,,,,,,,,,,
gw-0246,192.0.2.246,246,18789,192.0.2.246:18789,https://192.0.2.246:18789,192.0.2.246:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0246-instance-1,US,provider-0113,mdns,5353,False,False,0,192.0.2.246,,,,,,,False,,,,,,,,,,,,,
gw-0247,192.0.2.247,247,18789,192.0.2.247:18789,https://192.0.2.247:18789,192.0.2.247:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0247-instance-1,GB,provider-0016,mdns,5353,False,False,0,192.0.2.247,,,,,,,False,,,,,,,,,,,,,
gw-0248,192.0.2.248,248,18789,192.0.2.248:18789,https://192.0.2.248:18789,192.0.2.248:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0248-instance-1,GB,provider-0016,mdns,5353,False,False,0,192.0.2.248,,,,,,,False,,,,,,,,,,,,,
gw-0249,192.0.2.249,249,18789,192.0.2.249:18789,https://192.0.2.249:18789,192.0.2.249:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0249-instance-1,SG,provider-0016,mdns,5353,False,False,0,192.0.2.249,,,,,,,False,,,,,,,,,,,,,
gw-0250,192.0.2.250,250,5353,192.0.2.250:5353,http://192.0.2.250:5353,192.0.2.250:5353,0.55,,,,,False,,,,,US,provider-0114,mdns,5353,False,False,0,192.0.2.250,,,,,,,False,,,,,,,,,,,,,
gw-0251,192.0.2.251,251,18789,192.0.2.251:18789,https://192.0.2.251:18789,192.0.2.251:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,claw gateway;openclaw;openclaw-gw,gw-0251-instance-1,DE,provider-0016,mdns,5353,False,False,0,192.0.2.251,,,,,,,False,,,,,,,,,,,,,
gw-0252,192.0.2.252,252,18789,192.0.2.252:18789,https://192.0.2.252:18789,192.0.2.252:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0252-instance-1,US,provider-0115,mdns,5353,False,False,0,192.0.2.252,,,,,,,False,,,,,,,,,,,,,
gw-0253,192.0.2.253,253,18789,192.0.2.253:18789,https://192.0.2.253:18789,192.0.2.253:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0253-instance-1,US,provider-0116,mdns,5353,False,False,0,192.0.2.253,,,,,,,False,,,,,,,,,,,,,
gw-0254,192.0.2.254,254,18789,192.0.2.254:18789,https://192.0.2.254:18789,192.0.2.254:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0254-instance-1,US,provider-0115,mdns,5353,False,False,0,192.0.2.254,,,,,,,False,,,,,,,,,,,,,
gw-0255,198.51.100.1,255,18789,198.51.100.1:18789,https://198.51.100.1:18789,198.51.100.1:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0255-instance-1,US,provider-0019,mdns,5353,False,False,0,198.51.100.1,,,,,,,False,,,,,,,,,,,,,
gw-0256,198.51.100.2,256,18789,198.51.100.2:18789,https://198.51.100.2:18789,198.51.100.2:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0256-instance-1,JP,provider-0079,mdns,5353,False,False,0,198.51.100.2,,,,,,,False,,,,,,,,,,,,,
gw-0257,198.51.100.3,257,18789,198.51.100.3:18789,https://198.51.100.3:18789,198.51.100.3:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0257-instance-1,RU,provider-0117,mdns,5353,False,False,0,198.51.100.3,,,,,,,False,,,,,,,,,,,,,
gw-0258,198.51.100.4,258,18789,198.51.100.4:18789,https://198.51.100.4:18789,198.51.100.4:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0258-instance-1,DE,provider-0118,mdns,5353,False,False,0,198.51.100.4,,,,,,,False,,,,,,,,,,,,,
gw-0259,198.51.100.5,259,18789,198.51.100.5:18789,https://198.51.100.5:18789,198.51.100.5:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0259-instance-1,RU,provider-0119,mdns,5353,False,False,0,198.51.100.5,,,,,,,False,,,,,,,,,,,,,
gw-0260,198.51.100.6,260,18790,198.51.100.6:18790,http://198.51.100.6:18790,198.51.100.6:18790,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0260-instance-1,UA,provider-0120,mdns,5353,False,False,0,198.51.100.6,,,,,,,False,,,,,,,,,,,,,
gw-0261,198.51.100.7,261,18789,198.51.100.7:18789,https://198.51.100.7:18789,198.51.100.7:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0261-instance-1,US,provider-0121,mdns,5353,False,False,0,198.51.100.7,,,,,,,False,,,,,,,,,,,,,
gw-0262,198.51.100.8,262,18789,198.51.100.8:18789,https://198.51.100.8:18789,198.51.100.8:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0262-instance-1,US,provider-0122,mdns,5353,False,False,0,198.51.100.8,,,,,,,False,,,,,,,,,,,,,
gw-0263,198.51.100.9,263,18789,198.51.100.9:18789,https://198.51.100.9:18789,198.51.100.9:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0263-instance-1,US,provider-0123,mdns,5353,False,False,0,198.51.100.9,,,,,,,False,,,,,,,,,,,,,
