anon_id,anon_ip,collection_order,input_target,source,discovery_confidence,discovery_sources,passive_http_title,passive_http_status,shodan_module,shodan_product,shodan_query_id,product_confidence,family_match_count,top_family,matched_version_count,top_version,exact_version_count,vulnerability_count,status_distribution_signature
gw-0179,192.0.2.179,180,192.0.2.179:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0180,192.0.2.180,181,192.0.2.180:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0181,192.0.2.181,182,192.0.2.181:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0182,192.0.2.182,183,192.0.2.182:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0183,192.0.2.183,184,192.0.2.183:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0184,192.0.2.184,185,192.0.2.184:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0185,192.0.2.185,186,192.0.2.185:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0186,192.0.2.186,187,192.0.2.186:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0187,192.0.2.187,188,192.0.2.187:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0188,192.0.2.188,189,192.0.2.188:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0189,192.0.2.189,190,192.0.2.189:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
